"doctor","hospital","patient_count","medical_condition_count","total_billing_amount","average_billing_amount","average_patient_age","average_length_of_stay","first_admission_date","latest_admission_date"
Aaron Acevedo,"Cervantes, and Mckenzie Byrd",1,1,29047.30,29047.28,78,12,2022-06-19,2022-06-19
Aaron Adams,LLC Boyle,1,1,20162.30,20162.26,45,4,2023-08-21,2023-08-21
Aaron Aguilar,"Hess White and Drake,",1,1,8091.81,8091.81,38,11,2021-04-20,2021-04-20
Aaron Alexander,Richardson-Juarez,1,1,22120.90,22120.87,19,2,2021-11-03,2021-11-03
Aaron Anderson,Miller-Stanton,1,1,40326.10,40326.06,18,20,2022-12-28,2022-12-28
Aaron Arnold,Parrish Ltd,1,1,8013.34,8013.34,80,4,2021-11-01,2021-11-01
Aaron Baker,Peters LLC,1,1,38819.70,38819.66,46,21,2024-03-22,2024-03-22
Aaron Baker,PLC White,1,1,5541.80,5541.80,71,30,2022-06-15,2022-06-15
Aaron Barker,"Hernandez Short Cooper, and",1,1,45316.10,45316.11,36,7,2019-06-12,2019-06-12
Aaron Barrett,"Strickland Richards and Benjamin,",1,1,33877.40,33877.38,54,14,2022-04-28,2022-04-28
Aaron Barry,Gomez-Thompson,1,1,42794.70,42794.69,30,24,2023-11-24,2023-11-24
Aaron Bates,"and Hawkins Bryant Fowler,",1,1,16675.80,16675.85,77,17,2021-02-17,2021-02-17
Aaron Becker,"and Payne Graves Torres,",1,1,5777.88,5777.88,29,10,2021-01-07,2021-01-07
Aaron Brown,Adams-Flynn,1,1,44196.90,44196.91,73,3,2023-01-30,2023-01-30
Aaron Brown,Howard-Howard,1,1,19116.30,19116.30,73,22,2020-11-08,2020-11-08
Aaron Brown,Ltd Harris,1,1,2142.91,2142.91,81,14,2023-10-13,2023-10-13
Aaron Brown,Ltd Sims,1,1,32697.60,32697.64,42,29,2020-03-31,2020-03-31
Aaron Brown,"Thornton, Merritt Webb and",1,1,11246.20,11246.16,78,2,2024-02-17,2024-02-17
Aaron Brown,Wheeler-Garcia,1,1,25475.80,25475.77,57,3,2020-10-11,2020-10-11
Aaron Burch,"Williamson Brown, and Smith",1,1,15087.30,15087.33,31,30,2019-12-31,2019-12-31
Aaron Caldwell,Harris PLC,1,1,34837.30,34837.32,30,13,2020-03-28,2020-03-28
Aaron Cardenas,"Williamson and Hughes Franco,",1,1,32952.90,32952.86,59,14,2019-08-18,2019-08-18
Aaron Carter,Burns-Wright,1,1,13417.40,13417.36,49,2,2022-10-21,2022-10-21
Aaron Christensen,"Wheeler, Hicks Anderson and",2,1,44376.30,22188.14,59,24,2021-06-25,2021-06-25
Aaron Collins,"Brown Hansen, and Lopez",1,1,48846.60,48846.57,20,26,2021-03-17,2021-03-17
Aaron Collins,Rivera-Holder,1,1,10673.70,10673.74,81,6,2019-10-23,2019-10-23
Aaron Cook,Ltd Hanson,1,1,39813.70,39813.71,47,29,2021-01-16,2021-01-16
Aaron Cook,Rosario Group,1,1,19085.50,19085.48,24,15,2021-08-19,2021-08-19
Aaron Cooley,Group Garcia,1,1,30348.50,30348.50,44,30,2023-08-29,2023-08-29
